first_name,second_name,club_name,position,cost
Josh,Bowler,Nott'm Forest,Midfielder,4.5
Carlos Miguel,dos Santos Pereira,Nott'm Forest,Goalkeeper,4.5
Eric,da Silva Moreira,Nott'm Forest,Midfielder,4.5
Danilo,dos Santos de Oliveira,Nott'm Forest,Midfielder,5.0
Emmanuel,Dennis,Nott'm Forest,Forward,5.0
Nicolás,Domínguez,Nott'm Forest,Midfielder,5.0
Anthony,Elanga,Nott'm Forest,Midfielder,5.5
Morgan,Gibbs-White,Nott'm Forest,Midfielder,6.5
Callum,Hudson-Odoi,Nott'm Forest,Midfielder,5.5
Alex,Mighten,Nott'm Forest,Midfielder,4.5
Murillo,Santiago Costa dos Santos,Nott'm Forest,Defender,4.5
Neco,Williams,Nott'm Forest,Defender,4.5
Omar,Richards,Nott'm Forest,Defender,4.5
Lewis,O'Brien,Nott'm Forest,Midfielder,5.0
Andrew,Omobamidele,Nott'm Forest,Defender,4.5
Jonathan,Panzo,Nott'm Forest,Defender,4.0
Ibrahim,Sangaré,Nott'm Forest,Midfielder,4.5
Matz,Sels,Nott'm Forest,Goalkeeper,4.5
Harry,Toffolo,Nott'm Forest,Defender,4.5
Matt,Turner,Nott'm Forest,Goalkeeper,4.0
Hwang,Ui-jo,Nott'm Forest,Forward,4.5
Chris,Wood,Nott'm Forest,Forward,6.0
Joe,Worrall,Nott'm Forest,Defender,4.5
Ryan,Yates,Nott'm Forest,Midfielder,5.0
Nikola,Milenković,Nott'm Forest,Defender,4.5
Carlos,Alcaraz Durán,Southampton,Midfielder,5.0
Samuel,Amo-Ameyaw,Southampton,Midfielder,4.5
Joe,Aribo,Southampton,Midfielder,5.0
Adam,Armstrong,Southampton,Forward,5.5
Gavin,Bazunu,Southampton,Goalkeeper,4.5
Jan,Bednarek,Southampton,Defender,4.0
Armel,Bella-Kotchap,Southampton,Defender,4.0
James,Bree,Southampton,Defender,4.0
Shea,Charles,Southampton,Midfielder,4.5
Samuel,Edozie,Southampton,Midfielder,5.0
Ronnie,Edwards,Southampton,Defender,4.0
Taylor,Harwood-Bellis,Southampton,Defender,4.0
Kamaldeen,Sulemana,Southampton,Midfielder,5.0
Adam,Lallana,Southampton,Midfielder,5.0
Juan,Larios López,Southampton,Defender,4.0
Mateusz,Lis,Southampton,Goalkeeper,4.0
Joe,Lumley,Southampton,Goalkeeper,4.0
Ryan,Manning,Southampton,Defender,4.5
Sékou,Mara,Southampton,Forward,5.0
Alex,McCarthy,Southampton,Goalkeeper,4.5
Paul,Onuachu,Southampton,Forward,5.0
Will,Smallbone,Southampton,Midfielder,5.0
Jack,Stephens,Southampton,Defender,4.0
Ross,Stewart,Southampton,Forward,4.5
Sugawara,Yukinari,Southampton,Defender,4.5
Charlie,Taylor,Southampton,Defender,4.0
Kyle,Walker-Peters,Southampton,Defender,4.5
Nathan,Wood-Gordon,Southampton,Defender,4.0
Flynn,Downes,Southampton,Midfielder,5.0
Ashley,Phillips,Spurs,Defender,4.0
Brandon,Austin,Spurs,Goalkeeper,4.0
Rodrigo,Bentancur,Spurs,Midfielder,5.0
Lucas,Bergvall,Spurs,Midfielder,4.5
Yves,Bissouma,Spurs,Midfielder,5.0
Bryan,Gil Salvatierra,Spurs,Midfielder,5.0
Ben,Davies,Spurs,Defender,4.5
Alfie,Devine,Spurs,Midfielder,4.5
Radu,Drăgușin,Spurs,Defender,4.5
Emerson,Leite de Souza Junior,Spurs,Defender,4.5
Fraser,Forster,Spurs,Goalkeeper,4.5
Archie,Gray,Spurs,Midfielder,5.0
Pierre-Emile,Højbjerg,Spurs,Midfielder,5.0
Brennan,Johnson,Spurs,Midfielder,6.5
Dejan,Kulusevski,Spurs,Midfielder,6.5
Giovani,Lo Celso,Spurs,Midfielder,5.0
James,Maddison,Spurs,Midfielder,7.5
Pedro,Porro,Spurs,Defender,5.5
Sergio,Reguilón,Spurs,Defender,4.5
Richarlison,de Andrade,Spurs,Forward,7.0
Cristian,Romero,Spurs,Defender,5.0
Pape Matar,Sarr,Spurs,Midfielder,5.0
Dane,Scarlett,Spurs,Forward,4.5
Oliver,Skipp,Spurs,Midfielder,5.0
Manor,Solomon,Spurs,Midfielder,5.5
Son,Heung-min,Spurs,Midfielder,10.0
Djed,Spence,Spurs,Defender,4.5
Destiny,Udogie,Spurs,Defender,5.0
Micky,van de Ven,Spurs,Defender,4.5
Alejo,Véliz,Spurs,Forward,5.0
Guglielmo,Vicario,Spurs,Goalkeeper,5.0
Timo,Werner,Spurs,Midfielder,6.5
Alfie,Whiteman,Spurs,Goalkeeper,4.0
Edson,Álvarez Velázquez,West Ham,Midfielder,5.0
Michail,Antonio,West Ham,Forward,5.5
Alphonse,Areola,West Ham,Goalkeeper,4.5
Jarrod,Bowen,West Ham,Midfielder,7.5
Maxwel,Cornet,West Ham,Midfielder,5.0
Vladimír,Coufal,West Ham,Defender,4.5
Aaron,Cresswell,West Ham,Defender,4.0
George,Earthy,West Ham,Midfielder,4.5
Emerson,Palmieri dos Santos,West Ham,Defender,4.5
Łukasz,Fabiański,West Ham,Goalkeeper,4.0
Wes,Foderingham,West Ham,Goalkeeper,4.5
Danny,Ings,West Ham,Forward,5.0
Max,Kilman,West Ham,Defender,4.5
Mohammed,Kudus,West Ham,Midfielder,6.5
